"Part";"Value";"Device";"Package";"Description";"AVAILABILITY";"CATEGORY";"DESCRIPTION";"DRAIN_CURRENT";"MANUFACTURER";"MF";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"OPERATING_TEMP";"PACKAGE";"PART_STATUS";"POPULARITY";"PRICE";"PROD_ID";"PURCHASE-URL";"ROHS_COMPLIANT";"SERIES";"SPICEPREFIX";"SUB-CATEGORY";"THERMALLOSS";"TYPE";"VALUE";
"R6";"1k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"86";"";"";"";"";"";"R";"";"";"";"";
"R7";"1k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"86";"";"";"";"";"";"R";"";"";"";"";
"R8";"1k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"86";"";"";"";"";"";"R";"";"";"";"";
"R9";"10k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"86";"";"";"";"";"";"R";"";"";"";"";
"R10";"DNP";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"86";"";"";"";"";"";"R";"";"";"";"";
"R11";"DNP";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"86";"";"";"";"";"";"R";"";"";"";"";
"R12";"10k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"86";"";"";"";"";"";"R";"";"";"";"";
"R13";"10k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"86";"";"";"";"";"";"R";"";"";"";"";
"R14";"10k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"86";"";"";"";"";"";"R";"";"";"";"";
"R15";"10k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"86";"";"";"";"";"";"R";"";"";"";"";
"R16";"20";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"86";"";"";"";"";"";"R";"";"";"";"";
"R17";"DNP";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"86";"";"";"";"";"";"R";"";"";"";"";
"R18";"1k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"86";"";"";"";"";"";"R";"";"";"";"";
"R19";"1k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"86";"";"";"";"";"";"R";"";"";"";"";
"R20";"DIP";"R-EU_0207/10";"0207/10";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"81";"";"";"";"";"";"R";"";"";"";"";
"SJ1";"";"SJ";"SJ";"SMD solder JUMPER";"";"";"";"";"";"";"";"";"";"";"";"";"";"33";"";"";"";"";"";"";"";"";"";"";
"SJ2";"";"SJ";"SJ";"SMD solder JUMPER";"";"";"";"";"";"";"";"";"";"";"";"";"";"33";"";"";"";"";"";"";"";"";"";"";
"SV1";"";"MA04-1";"MA04-1";"PIN HEADER";"";"";"";"";"";"";"";"";"unknown";"unknown";"";"";"";"41";"";"";"";"";"";"";"";"";"";"";
"SW1";"SKRPABE010";"SKRPABE010";"SKRPABE010";"SKRPABE010 Alps Electronics SMD-mounted tactile switch Check availability";"In Stock";"";" Switch Tactile N.O. SPST Button J-Bend 0.05A 16VDC 1.57N SMD Automotive T/R ";"";"";"ALPS";"SKRPABE010";"";"";"";"";"None";"";"";"None";"";"https://pricing.snapeda.com/search/part/SKRPABE010/?ref=eda";"";"";"";"";"";"";"";
"SW2";"SKRPABE010";"SKRPABE010";"SKRPABE010";"SKRPABE010 Alps Electronics SMD-mounted tactile switch Check availability";"In Stock";"";" Switch Tactile N.O. SPST Button J-Bend 0.05A 16VDC 1.57N SMD Automotive T/R ";"";"";"ALPS";"SKRPABE010";"";"";"";"";"None";"";"";"None";"";"https://pricing.snapeda.com/search/part/SKRPABE010/?ref=eda";"";"";"";"";"";"";"";
"T1";"NPN";"MMUN2211LT1-NPN-SC59-BEC";"SC59-BEC";"NPN Transistror";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";
"T2";"NPN";"MMUN2211LT1-NPN-SC59-BEC";"SC59-BEC";"NPN Transistror";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";
"U$1";"ADP3338";"ADP3338";"SOT223";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$6";"AE_BME280-BACKUP";"AE_BME280-BACKUP";"BME280";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$13";"AE-BME680";"AE-BME680";"AE-BME680";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$16";"AQM0802";"AQM0802";"AQM0802";"LCD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U1";"ESP32-WROOM-32E_(16MB)";"ESP32-WROOM-32E_(16MB)";"XCVR_ESP32-WROOM-32E_(16MB)";"Check availability";"Not in stock";"";" Bluetooth, WiFi 802.11b/g/n, Bluetooth v4.2 +EDR, Class 1, 2 and 3 Transceiver Module 2.4GHz ~ 2.5GHz Integrated, Trace Surface Mount ";"";"";"Espressif Systems";"ESP32-WROOM-32E (16MB)";"";"";"";"";"None";"";"";"None";"";"";"";"";"";"";"";"";"";
"U2";"FT231XS";"FT231XS";"SSOP20_L";"FTDI FT231X Full Speed USB to Full-handshake UART";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"IC-11524";"";"";"";"";"";"";"";"FT231XS";
"U3";"AQM1602";"AQM1602";"AQM1602Y";"LCD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
